\N	windy gap member	Pliocene|5.33300|2.58800	Tertiary|66.00000|2.58800
\N	rabbit ears volcanics	Cretaceous|145.00000|66.00000	Mesozoic|252.17000|66.00000
\N	ghaub formation	Ediacaran|635.00000|541.00000	Neoproterozoic|1000.00000|541.00000
\N	troublesome formation	Middle Miocene|15.9700|11.6080	Miocene|23.03000|5.33300
\N	benton shale	Early Cretaceous|145.5000|99.6000	Mesozoic|252.17000|66.00000
\N	rabbit ears volcanics	Late Oligocene|28.4000|23.0300	Tertiary|66.00000|2.58800
\N	troublesome formation	Early Miocene|23.0300|15.9700	Tertiary|66.00000|2.58800
\N	park formation	Late Eocene|37.2000|33.9000	Early Tertiary|65.5000|33.9000
\N	troublesome formation	Tertiary|66.00000|2.58800	Cenozoic|66.00000|0.00000
\N	troublesome formation	Early Pliocene|5.3320|3.6000	Pliocene|5.33300|2.58800
\N	troublesome formation	Middle Tertiary|33.9000|23.0300	Tertiary|66.00000|2.58800
\N	troublesome formation	Miocene|23.03000|5.33300	Tertiary|66.00000|2.58800
\N	troublesome formation	Quaternary|2.58800|0.00000	Cenozoic|66.00000|0.00000
\N	rabbit ears volcanics	Miocene|23.03000|5.33300	Tertiary|66.00000|2.58800
\N	north park formation	Pliocene|5.33300|2.58800	Late Tertiary|23.0300|2.5880
\N	park formation	Late Eocene|37.2000|33.9000	Eocene|56.00000|33.90000
\N	rabbit ears volcanics	Middle Tertiary|33.9000|23.0300	Tertiary|66.00000|2.58800
\N	troublesome formation	Early Pliocene|5.3320|3.6000	Tertiary|66.00000|2.58800
\N	troublesome formation	Early Tertiary|65.5000|33.9000	Tertiary|66.00000|2.58800
\N	colorado shale	Miocene|23.03000|5.33300	Cenozoic|66.00000|0.00000
\N	rabbit ears volcanics	Early Miocene|23.0300|15.9700	Tertiary|66.00000|2.58800
\N	colorado shale	Pleistocene|2.58800|0.01170	Quaternary|2.58800|0.00000
\N	park formation	Pliocene|5.33300|2.58800	Tertiary|66.00000|2.58800
\N	park formation	Early Oligocene|33.9000|28.4000	Tertiary|66.00000|2.58800
\N	morrison formation	Late Jurassic|161.2000|145.5000	Mesozoic|252.17000|66.00000
\N	colorado shale	Late Tertiary|23.0300|2.5880	Cenozoic|66.00000|0.00000
\N	park formation	Middle Miocene|15.9700|11.6080	Cenozoic|66.00000|0.00000
\N	park formation	Late Pliocene|3.6000|2.5880	Cenozoic|66.00000|0.00000
\N	troublesome formation	Oligocene|33.90000|23.03000	Tertiary|66.00000|2.58800
\N	ogallala formation	Early Pliocene|5.3320|3.6000	Late Tertiary|23.0300|2.5880
